model,method,image,deletion_auc,insertion_auc
mobilenetv3,gradcam++,7001-26.jpg,0.1971217393875122,0.9083532691001892
mobilenetv3,gradcam++,7002-33.jpg,0.2497442215681076,0.9536188840866089
mobilenetv3,gradcam++,7002-48.jpg,0.4951298236846924,0.9334231615066528
mobilenetv3,gradcam++,7004-143.jpg,0.4711395502090454,0.969184160232544
mobilenetv3,gradcam++,7004-197.jpg,0.4572555422782898,0.845729649066925
mobilenetv3,gradcam++,7004-92.jpg,0.34719574451446533,0.822252631187439
mobilenetv3,gradcam++,7005-119.jpg,0.4520498216152191,0.9537834525108337
mobilenetv3,gradcam++,7005-78.jpg,0.5319740176200867,0.9538039565086365
mobilenetv3,gradcam++,7006-134.jpg,0.40484151244163513,0.9685312509536743
mobilenetv3,gradcam++,7006-154.jpg,0.5543605089187622,0.9237798452377319
mobilenetv3,gradcam++,7006-73.jpg,0.5363965034484863,0.8831647634506226
mobilenetv3,gradcam++,7006-77.jpg,0.5209125876426697,0.9640915989875793
mobilenetv3,gradcam++,7006-96.jpg,0.6138787269592285,0.9540887475013733
mobilenetv3,gradcam++,7007-186.jpg,0.2550700008869171,0.9322535991668701
mobilenetv3,gradcam++,7008-56.jpg,0.40418460965156555,0.9406300783157349
mobilenetv3,gradcam++,7009-114.jpg,0.4346720576286316,0.9728526473045349
mobilenetv3,gradcam++,7009-2.jpg,0.13744352757930756,0.6517554521560669
mobilenetv3,gradcam++,7009-202.jpg,0.2842913866043091,0.9183521270751953
mobilenetv3,gradcam++,7009-47.jpg,0.529421329498291,0.9719139933586121
mobilenetv3,gradcam++,7009-75.jpg,0.4889819622039795,0.91373211145401
mobilenetv3,gradcam++,7009-95.jpg,0.5114128589630127,0.8720013499259949
mobilenetv3,gradcam++,7010-227.jpg,0.44084155559539795,0.8766290545463562
mobilenetv3,gradcam++,7010-62.jpg,0.3418874740600586,0.9447568655014038
mobilenetv3,gradcam++,7010-82.jpg,0.2827892005443573,0.9678972959518433
mobilenetv3,gradcam++,7010-96.jpg,0.5509350895881653,0.9163627624511719
mobilenetv3,gradcam++,7010-97.jpg,0.40791940689086914,0.902618944644928
mobilenetv3,gradcam++,7011-134.jpg,0.3119087815284729,0.8548681139945984
mobilenetv3,gradcam++,7011-142.jpg,0.22906523942947388,0.7778728008270264
mobilenetv3,gradcam++,7011-143.jpg,0.45993050932884216,0.9089223146438599
mobilenetv3,gradcam++,7011-171.jpg,0.16150814294815063,0.8920483589172363
mobilenetv3,gradcam++,7011-18.jpg,0.3817085325717926,0.8372417688369751
mobilenetv3,gradcam++,7011-192.jpg,0.687252938747406,0.9312758445739746
mobilenetv3,gradcam++,7011-204.jpg,0.3276605010032654,0.8875332474708557
mobilenetv3,gradcam++,7011-25.jpg,0.31683531403541565,0.8684119582176208
mobilenetv3,gradcam++,7012-103.jpg,0.23401184380054474,0.8501455783843994
mobilenetv3,gradcam++,7012-119.jpg,0.48649007081985474,0.9386113882064819
mobilenetv3,gradcam++,7012-128.jpg,0.3487507104873657,0.8470498323440552
mobilenetv3,gradcam++,7012-13.jpg,0.38553065061569214,0.9127874970436096
mobilenetv3,gradcam++,7012-49.jpg,0.516472339630127,0.8781960606575012
mobilenetv3,gradcam++,7012-67.jpg,0.33147579431533813,0.9181563854217529
mobilenetv3,gradcam++,7013-150.jpg,0.6608681082725525,0.9686598777770996
mobilenetv3,gradcam++,7013-184.jpg,0.35285627841949463,0.9670063257217407
mobilenetv3,gradcam++,7013-81.jpg,0.255705863237381,0.8580549955368042
mobilenetv3,gradcam++,7013-99.jpg,0.20806647837162018,0.9271292090415955
mobilenetv3,gradcam++,7014-222.jpg,0.33396992087364197,0.9209115505218506
mobilenetv3,gradcam++,7016-136.jpg,0.5377901792526245,0.9325921535491943
mobilenetv3,gradcam++,7016-204.jpg,0.21825860440731049,0.804257333278656
